unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences,lith,environ,econ,measure,notes,color,text_color,t_int_id,t_int_name,t_int_age,t_prop,units_above,b_int_id,b_int_name,b_int_age,b_prop,units_below,strat_name_long,refs,clat,clng,t_plat,t_plng,b_plat,b_plng
8025,2059,304,1,20218.484,Grimsby Fm,802,NA,Grimsby,Medina,NA,438.5,439.075,38,0,subsurface,0,0,shale siliciclastic sedimentary  ~ 0.1429| siltstone siliciclastic sedimentary  ~ 0.1429| sandstone siliciclastic sedimentary  ~ 0.7143,eolian indet. eolian non-marine,NA,NA,NA,#A57B54,#000000,235,Aeronian,438.5,1,8023,235,Aeronian,440.8,0.75,8026,Grimsby Formation,1,41.673,-79.291,-29.649,-97.748,-29.497,-98.761
8028,2059,304,1,20218.484,Tuscarora Fm,2159,NA,Tuscarora,NA,NA,438.5,443.8,20,0,subsurface,0,0,sandstone siliciclastic sedimentary  ~ 0.8333|red sandstone siliciclastic sedimentary  ~ 0.1667,inferred marine  marine,NA,NA,NA,#FCF768,#000000,235,Aeronian,438.5,1,8022,236,Rhuddanian,443.8,0,0,Tuscarora Formation,1,41.673,-79.291,-29.649,-97.748,-26.535,-103.568
8141,2064,305,1,20501.887,Tuscarora Fm,2159,NA,Tuscarora,NA,NA,438.5,443.8,100,30,surface,0,0,shale siliciclastic sedimentary  ~ 0.125| siltstone siliciclastic sedimentary  ~ 0.125| sandstone siliciclastic sedimentary  ~ 0.625|red sandstone siliciclastic sedimentary  ~ 0.125,fluvial indet. fluvial non-marine,NA,NA,NA,#FCF768,#000000,235,Aeronian,438.5,1,8140,236,Rhuddanian,443.8,0,81428143,Tuscarora Formation,1,41.643,-77.32,-29.962,-96.09,-26.931,-101.98
8263,2070,307,1,11731.441,Tuscarora Fm,2159,NA,Tuscarora,NA,NA,438.5,443.8,121,0,surface,0,0,sandstone siliciclastic sedimentary  ~ 0.7143| conglomerate siliciclastic sedimentary  ~ 0.1429|red sandstone siliciclastic sedimentary  ~ 0.1429,fluvial indet. fluvial non-marine,NA,[object Object],NA,#FCF768,#000000,235,Aeronian,438.5,1,8262,236,Rhuddanian,443.8,0,8265,Tuscarora Formation,1,40.961,-75.81,-30.817,-94.919,-27.845,-100.901
8734,2205,324,1,26878.711,Saturday Mountain Fm,1831,NA,Saturday Mountain,NA,NA,438.5,440.8,280,64,surface,1,8,gray dark dolomite carbonate sedimentary  ~ 0.8333|cherty dolomite carbonate sedimentary  ~ 0.1667,marine  marine,NA,[object Object],NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,8733,235,Aeronian,440.8,0,0,Saturday Mountain Formation,1,44.15,-114.353,-13.464,-123.328,-11.744,-125.769
10560,2747,385,1,22863.578,Berwick Fm,157,NA,Berwick,Merrimack,NA,438.5,443.8,2500,0,surface,0,0,biotite phyllite metasedimentary metamorphic  ~ 0.1429|calcareous greywacke siliciclastic sedimentary  ~ 0.7143|calcareous sandstone siliciclastic sedimentary  ~ 0.1429,inferred marine  marine,NA,[object Object],NA,#5A4633,#000000,235,Aeronian,438.5,1,10558,236,Rhuddanian,443.8,0,1055910562,Berwick Formation,1,43.425,-70.576,-38.701,-85.646,-40.103,-91.894
10574,2757,386,1,21148.684,Waterville Fm,2247,NA,Waterville,NA,NA,438.5,443.05,1000,0,surface,0,0,quartz mica schist metamorphic metamorphic  ~ 0.7143| quartzite metasedimentary metamorphic  ~ 0.1429|black slate metasedimentary metamorphic  ~ 0.1429,NA,NA,[object Object],NA,#999999,#000000,235,Aeronian,438.5,1,10573,236,Rhuddanian,443.8,0.25,10575,Waterville Formation,1,44.545,-68.611,-37.946,-83.558,-39.221,-88.735
11575,3113,432,1,42695.445,Sweeny Fm,2034,NA,Sweeny,NA,NA,438.5,438.8833,18,15,both,0,0,dolomite carbonate sedimentary  ~ 0.8333| clay siliciclastic sedimentary  ~ 0.1667,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,235,Aeronian,440.8,0.83335,11576,Sweeny Formation,1,41.24,-89.333,-27.794,-106.078,-27.671,-106.764
11579,3113,432,1,42695.445,Kankakee Fm,1009,NA,Kankakee,NA,NA,438.5,439.2667,13,5,NA,0,0,limestone carbonate sedimentary  ~ 0.3846| dolomite carbonate sedimentary  ~ 0.3846| clay siliciclastic sedimentary  ~ 0.0769|argillaceous dolomite carbonate sedimentary  ~ 0.0769|silty dolomite carbonate sedimentary  ~ 0.0769,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,11585,235,Aeronian,440.8,0.66665,11580,Kankakee Formation,1,41.24,-89.333,-27.794,-106.078,-27.438,-107.277
11802,3196,434,1,23311.537,Sexton Creek Limestone,3807,NA,Sexton Creek Limestone,NA,NA,438.5,440.8,13,10,both,0,0,cherty limestone carbonate sedimentary  ~ 1,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,235,Aeronian,440.8,0,11803,Sexton Creek Limestone,1,38.646,-88.923,-30.306,-106.901,-28.806,-109.79
